Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
68	-279.8	0.5291523	-278.4	-280.0	100.0	613.0	0.0	-4.1909516e-09	0.09137496	-0.0013616394	-0.0029144231	1.7025743	0.0037525366	0.0095875	49.0	2004.4134175777435
69	-279.89374	0.2811131	-279.15	-280.0	100.0	621.0	0.0	-5.5879354e-09	0.08329364	-0.0015463209	-0.0010538846	1.7377996	0.005770305	0.019225001	49.0	2033.6499135494232
70	-280.04376	0.11575364	-280.0	-280.35	100.0	629.0	0.0	9.313226e-10	0.09041208	-0.0016718634	-0.008655606	1.7311454	0.008166265	0.02425	49.0	2060.557526111603
71	-280.0	0.0	-280.0	-280.0	100.0	637.0	0.0	0.0	0.10978028	-0.0017394456	-0.0024465476	1.7250011	0.0072506415	0.0223125	49.0	2089.1024610996246
72	-279.86874	0.34725082	-278.95	-280.0	100.0	645.0	0.0	-3.259629e-09	0.091481775	-0.0016848749	-0.00224842	1.6725962	0.0077638347	0.013900001	49.0	2117.9652876853943
73	-279.74374	0.67796975	-277.95	-280.0	100.0	653.0	0.0	9.313226e-10	0.12624303	-0.0021362118	-0.019994732	1.7104954	0.009193226	0.064525	49.0	2146.0929079055786
74	-280.0	0.0	-280.0	-280.0	100.0	661.0	0.0	1.8626451e-09	0.14504527	-0.0017047836	-0.008644296	1.7197742	0.007079106	0.0192125	49.0	2174.5725631713867
75	-279.36877	1.1053652	-277.15	-280.0	100.0	669.0	0.0	-9.313226e-10	0.10289097	-0.0018920763	-0.004414708	1.7494736	0.006732342	0.016087499	49.0	2202.251580476761
76	-280.0	0.0	-280.0	-280.0	100.0	677.0	0.0	0.0	0.10838066	-0.0020525823	-0.006631431	1.7847918	0.008197976	0.030625	49.0	2230.421303510666
77	-279.9	0.2645711	-279.2	-280.0	100.0	685.0	0.0	-1.3969839e-09	0.12968808	-0.0016634194	-0.006776885	1.8037251	0.0053424337	0.031275	49.0	2259.05575466156
78	-279.95624	0.11575364	-279.65	-280.0	100.0	693.0	0.0	-5.5879354e-09	0.14582223	-0.0014770895	-0.0016844887	1.8173683	0.008427742	0.0397625	49.0	2287.4485836029053
79	-280.0	0.0	-280.0	-280.0	100.0	701.0	0.0	2.3283064e-09	0.1594015	-0.0019569169	-0.0047458615	1.7656188	0.007849706	0.016800001	49.0	2315.9909727573395
80	-279.88126	0.31417692	-279.05002	-280.0	100.0	709.0	0.0	3.7252903e-09	0.121981815	-0.0016776174	-0.0019370476	1.7734694	0.008040309	0.0148	49.0	2344.6798746585846
81	-280.0	0.0	-280.0	-280.0	100.0	717.0	0.0	1.8626451e-09	0.109753355	-0.0018572845	-0.0018352428	1.705975	0.0055635665	0.011187499	49.0	2372.7615990638733
82	-279.7625	0.6283639	-278.1	-280.0	100.0	725.0	0.0	7.450581e-09	0.11296548	-0.0018739852	-0.0016979529	1.6864101	0.007458914	0.02245	49.0	2400.5186591148376
83	-280.0	0.0	-280.0	-280.0	100.0	733.0	0.0	2.7939677e-09	0.0981531	-0.0014443204	-0.0019674893	1.6669157	0.0066180984	0.065225	49.0	2428.379719734192
84	-280.0	0.0	-280.0	-280.0	100.0	741.0	0.0	-7.450581e-09	0.113392375	-0.0011783915	-0.0028752126	1.6657658	0.008088778	0.0182625	49.0	2457.285416841507
85	-280.0	0.0	-280.0	-280.0	100.0	749.0	0.0	8.381903e-09	0.10585961	-0.0018174136	-0.011764207	1.5674479	0.007565095	0.013787501	49.0	2485.5266468524933
86	-280.0	0.0	-280.0	-280.0	100.0	757.0	0.0	0.0	0.083178684	-0.0016065893	-0.000696016	1.5472667	0.005185553	0.015337501	49.0	2513.285975456238
87	-279.6375	0.95908284	-277.1	-280.0	100.0	765.0	0.0	1.1175871e-08	0.11096543	-0.0015737258	-0.0029384405	1.5505747	0.007926334	0.0185625	49.0	2541.035087823868
88	-280.0125	0.033073913	-280.0	-280.1	100.0	773.0	0.0	7.450581e-09	0.08360518	-0.0017130694	-0.003415016	1.5014036	0.0054308595	0.009612501	49.0	2569.5123624801636
89	-280.0	0.0	-280.0	-280.0	100.0	781.0	0.0	1.21071935e-08	0.09577837	-0.0017895286	-0.0049633416	1.4874792	0.0055576405	0.022712499	49.0	2597.6621322631836
90	-280.0	0.0	-280.0	-280.0	100.0	789.0	0.0	0.0	0.09341471	-0.0017020726	-0.0039316267	1.4827249	0.003957415	0.01285	49.0	2626.1031906604767
91	-280.0	0.0	-280.0	-280.0	100.0	797.0	0.0	-5.5879354e-09	0.070343494	-0.0013706083	-0.0028162259	1.4628975	0.0052951276	0.0128625	49.0	2654.572159767151
92	-280.0	0.0	-280.0	-280.0	100.0	805.0	0.0	-5.5879354e-09	0.08788099	-0.0014966177	-0.002647	1.4792482	0.005750676	0.038175	49.0	2683.28600358963
93	-280.0	0.0	-280.0	-280.0	100.0	813.0	0.0	-5.5879354e-09	0.0886728	-0.0013540059	-0.0036783693	1.4420911	0.0037553692	0.0156375	49.0	2711.1953871250153
94	-280.0	0.0	-280.0	-280.0	100.0	821.0	0.0	-1.8626451e-08	0.08516655	-0.0014615003	-0.012390468	1.4862986	0.005184328	0.01475	49.0	2739.284474849701
95	-280.0	0.0	-280.0	-280.0	100.0	829.0	0.0	4.656613e-10	0.08150749	-0.0013866805	-0.004516517	1.5163578	0.0068113767	0.0351125	49.0	2767.2177267074585
96	-280.0	0.0	-280.0	-280.0	100.0	837.0	0.0	7.450581e-09	0.105235115	-0.0012798291	-0.0031183413	1.4993956	0.00509114	0.0163	49.0	2795.4598393440247
97	-280.0	0.0	-280.0	-280.0	100.0	845.0	0.0	2.3283064e-09	0.10357348	-0.0017710766	-0.0018808404	1.4477432	0.0041019795	0.016125001	49.0	2823.621083021164
98	-280.0125	0.033073913	-280.0	-280.1	100.0	853.0	0.0	1.8626451e-09	0.07459177	-0.0016527656	-0.0023226342	1.4407337	0.006306492	0.017825	49.0	2851.5471341609955
99	-280.0	0.0	-280.0	-280.0	100.0	861.0	0.0	1.8626451e-09	0.09800819	-0.0013810224	-0.003737688	1.4267913	0.0048387363	0.01065	49.0	2879.436217546463
100	-279.9875	0.033073913	-279.9	-280.0	100.0	869.0	0.0	1.6763806e-08	0.09249082	-0.0016078078	-0.006102831	1.4127349	0.0040114047	0.0106625	49.0	2907.6446435451508
101	-280.0	0.0	-280.0	-280.0	100.0	877.0	0.0	5.5879354e-09	0.068385236	-0.0018855876	-0.0035886052	1.4738933	0.0049081724	0.0198125	49.0	2936.0306544303894
102	-280.0	0.0	-280.0	-280.0	100.0	885.0	0.0	5.5879354e-09	0.11068671	-0.0017957045	-0.028172135	1.5060157	0.0043281093	0.013475	49.0	2964.230046272278
103	-280.0	0.0	-280.0	-280.0	100.0	893.0	0.0	0.0	0.115038864	-0.001943625	-0.006081409	1.5166172	0.0043548667	0.0174875	49.0	2992.1274642944336
104	-280.0	0.0	-280.0	-280.0	100.0	901.0	0.0	-3.259629e-09	0.1290232	-0.0015512358	-0.0038740286	1.5539454	0.006288273	0.01695	49.0	3020.7288794517517
105	-280.0	0.0	-280.0	-280.0	100.0	909.0	0.0	-9.313226e-10	0.11600915	-0.0020866683	-0.0025948882	1.555779	0.006391546	0.0304375	49.0	3049.1287140846252
106	-279.68124	0.8433292	-277.45	-280.0	100.0	917.0	0.0	6.0535967e-09	0.121510506	-0.0014295961	-0.0046809614	1.5591865	0.0056329947	0.0103625	49.0	3077.1038591861725
107	-280.0125	0.033073913	-280.0	-280.1	100.0	925.0	0.0	5.5879354e-09	0.14896932	-0.0015635261	-0.0045440113	1.5904393	0.006503855	0.01165	49.0	3105.322233915329
108	-280.0	0.0	-280.0	-280.0	100.0	933.0	0.0	1.8626451e-09	0.1316426	-0.0015537171	-0.0014482243	1.5330442	0.0052064615	0.018625	49.0	3133.569099187851
109	-280.0	0.0	-280.0	-280.0	100.0	941.0	0.0	9.313226e-10	0.13394496	-0.0015310847	-0.0010611592	1.5158498	0.0042468244	0.0073500006	49.0	3161.882384777069
110	-279.76874	0.6504449	-278.05002	-280.1	100.0	949.0	0.0	-1.8626451e-09	0.12281576	-0.001590346	-0.002706089	1.5028977	0.0042322017	0.0161875	49.0	3189.813600540161
111	-279.9875	0.033073913	-279.9	-280.0	100.0	957.0	0.0	-1.8626451e-09	0.14217722	-0.0019263732	-0.0015217271	1.488146	0.0049626767	0.025874998	49.0	3217.471457719803
112	-280.0	0.0	-280.0	-280.0	100.0	965.0	0.0	-4.656613e-09	0.1530997	-0.0018648366	-0.002322428	1.4699817	0.005876443	0.022212502	49.0	3245.394777536392
113	-280.0	0.0	-280.0	-280.0	100.0	973.0	0.0	3.259629e-09	0.110733226	-0.0017489451	-0.0030427258	1.538886	0.0063754525	0.0260375	49.0	3274.037095308304
