Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen
8020	144.36252	25.51014	187.45	91.15	40.0
8040	127.78751	35.18413	182.2	61.25	40.0
8060	140.225	36.54515	188.05	71.2	40.0
8080	148.67502	22.745298	201.0	107.6	40.0
8100	144.095	27.402786	186.7	55.65	40.0
8120	131.30501	51.87444	196.85	32.600002	40.0
8140	118.284996	49.170578	188.25	30.2	40.0
8160	138.8725	31.51945	187.2	76.55	40.0
8180	125.475	45.420555	182.0	12.3	40.0
8200	141.61	42.170197	186.95	12.5	40.0
8220	145.4125	30.956203	194.95	87.5	40.0
8240	133.91	38.75531	183.85	42.75	40.0
8260	118.03001	42.152412	184.6	14.9	40.0
8280	127.65751	30.639322	174.65	57.8	40.0
8300	119.18001	28.007341	171.3	70.1	40.0
8320	129.72	48.35955	211.25	7.7499995	40.0
8340	135.81	45.09771	207.7	17.1	40.0
8360	122.765	47.342243	202.45	-16.4	40.0
8380	137.20499	40.89486	205.85	24.8	40.0
8400	135.52249	42.74877	195.25	-1.5500003	40.0
8420	142.93	33.209103	193.7	61.8	40.0
8440	129.6975	38.31065	185.3	66.95	40.0
8460	146.58499	21.751667	189.1	97.25	40.0
8480	125.3625	50.144463	186.75	7.6000004	40.0
8500	140.82999	32.01451	191.0	54.15	40.0
8520	135.42	36.431534	216.45	58.2	40.0
8540	151.1125	36.899014	178.55	7.3999996	40.0
8560	159.06248	32.112553	188.05	71.6	40.0
8580	141.26501	36.77143	195.05	25.7	40.0
8600	151.70248	40.643894	204.25	61.7	40.0
8620	145.03252	37.219074	205.55	23.8	40.0
8640	143.35	33.75735	194.65	39.8	40.0
8660	139.095	41.394646	192.5	21.7	40.0
8680	140.7375	33.19857	196.6	74.95	40.0
8700	139.0575	47.937946	215.2	25.4	40.0
8720	142.2025	45.15191	196.35	34.1	40.0
8740	137.0575	39.56866	195.35	58.95	40.0
8760	143.84	49.737797	193.2	-24.95	40.0
8780	130.49002	38.893578	179.7	21.949999	40.0
8800	136.785	40.310238	187.45	28.9	40.0
8820	127.61249	52.714043	201.6	1.9499997	40.0
8840	146.985	40.910316	204.6	-4.3	40.0
8860	156.10251	24.995216	201.25	96.0	40.0
8880	125.17999	44.03082	191.55	20.7	40.0
8900	115.6675	45.77782	173.3	7.1999993	40.0
8920	129.68001	47.162506	175.75	17.7	40.0
8940	151.26749	26.438536	215.9	91.2	40.0
8960	138.99498	38.072483	182.1	-1.0499997	40.0
8980	137.935	21.988874	176.6	79.25	40.0
9000	128.445	29.686615	173.75	41.100002	40.0
9020	144.66998	36.304302	190.1	47.55	40.0
9040	138.535	45.686863	204.3	32.5	40.0
9060	115.4625	61.769222	199.35	-0.80000013	40.0
9080	105.197495	42.187298	170.85	12.35	40.0
9100	120.69	42.9018	187.85	-0.20000018	40.0
9120	123.822495	48.497257	187.0	25.3	40.0
9140	134.9225	35.216175	199.7	49.0	40.0
9160	137.25	51.07357	184.6	13.25	40.0
9180	151.95499	29.195927	189.45	81.15	40.0
