Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
61	-280.03748	0.048415255	-280.0	-280.1	100.0	512.0	0.0	-1.3038516e-08	0.09755898	-0.0020832906	-0.0074610137	2.4221935	0.012218773	0.023937501	49.0	1988.2873668670654
62	-280.0125	0.033073913	-280.0	-280.1	100.0	520.0	0.0	-9.778887e-09	0.12300335	-0.002377706	-0.006430866	2.3099182	0.008639086	0.028475001	49.0	2023.08198928833
63	-279.99374	0.01653191	-279.95	-280.0	100.0	528.0	0.0	-1.3969839e-09	0.11477895	-0.0017928252	-0.0066454075	2.2847028	0.010049937	0.0118875	49.0	2051.872982978821
64	-280.0	0.0	-280.0	-280.0	100.0	536.0	0.0	-4.656613e-09	0.12117282	-0.0020512799	-0.00946486	2.1923983	0.007850831	0.0142	49.0	2080.8029510974884
65	-280.0125	0.033073913	-280.0	-280.1	100.0	544.0	0.0	-1.6298145e-09	0.08900249	-0.00184313	-0.004202537	2.1774356	0.005427254	0.0228	49.0	2110.024057149887
66	-280.0	0.0	-280.0	-280.0	100.0	552.0	0.0	6.519258e-09	0.06934786	-0.0017546872	-0.007515272	2.1684513	0.0062068067	0.0346	49.0	2139.002170562744
67	-280.0125	0.033073913	-280.0	-280.1	100.0	560.0	0.0	9.313226e-09	0.08226021	-0.0022085859	-0.016582761	2.2202148	0.008657684	0.03345	49.0	2168.7733793258667
68	-280.0125	0.033073913	-280.0	-280.1	100.0	568.0	0.0	-1.3038516e-08	0.08175546	-0.0022106	-0.024278803	2.219429	0.0074671395	0.032987498	49.0	2196.9425761699677
69	-280.0	0.0	-280.0	-280.0	100.0	576.0	0.0	1.8626451e-09	0.12104909	-0.0025811102	-0.058573738	2.1872969	0.0109540485	0.0547875	49.0	2225.232792854309
70	-280.01874	0.04960582	-280.0	-280.15	100.0	584.0	0.0	1.3038516e-08	0.122438386	-0.002466654	-0.04899819	2.2644606	0.006916177	0.0575625	49.0	2253.987658262253
71	-279.83124	0.44647256	-278.65	-280.0	100.0	592.0	0.0	5.5879354e-09	0.09719488	-0.0017575697	-0.01693707	2.266978	0.0072506433	0.01675	49.0	2282.6146082878113
72	-280.0	0.0	-280.0	-280.0	100.0	600.0	0.0	1.8626451e-09	0.08365436	-0.002170747	-0.006449137	2.2158992	0.009956788	0.02915	49.0	2311.6117022037506
73	-280.0	0.0	-280.0	-280.0	100.0	608.0	0.0	-3.7252903e-09	0.115453854	-0.002323045	-0.0066339886	2.147031	0.008550255	0.064687505	49.0	2341.121468067169
74	-280.0	0.0	-280.0	-280.0	100.0	616.0	0.0	0.0	0.10324399	-0.0024016928	-0.0037450744	2.0878274	0.009972472	0.027562499	49.0	2371.2568702697754
75	-280.0	0.0	-280.0	-280.0	100.0	624.0	0.0	-1.3969839e-08	0.118165895	-0.001789522	-0.010060769	2.1165648	0.0069776615	0.022612501	49.0	2401.2432096004486
76	-280.0	0.0	-280.0	-280.0	100.0	632.0	0.0	-9.313226e-09	0.12695631	-0.002263849	-0.0052529573	2.0585558	0.011077995	0.0218125	49.0	2430.900651693344
77	-280.0	0.0	-280.0	-280.0	100.0	640.0	0.0	4.656613e-09	0.12576252	-0.0023110546	-0.0030996678	2.0131173	0.011233667	0.03385	49.0	2464.4810111522675
78	-280.0	0.0	-280.0	-280.0	100.0	648.0	0.0	3.7252903e-09	0.13223001	-0.0024130647	-0.0018630391	2.0881586	0.00998128	0.030987497	49.0	2493.8246569633484
79	-280.0	0.0	-280.0	-280.0	100.0	656.0	0.0	-6.7520887e-09	0.13354954	-0.0021507533	-0.0010664919	2.0201347	0.009781078	0.0222875	49.0	2522.0446858406067
80	-280.0	0.0	-280.0	-280.0	100.0	664.0	0.0	3.7252903e-09	0.12958992	-0.0013244853	-0.0018084953	2.0361238	0.0054065627	0.0079625	49.0	2551.0538170337677
81	-280.0	0.0	-280.0	-280.0	100.0	672.0	0.0	4.656613e-10	0.13029991	-0.0014465204	-0.002762734	2.1012743	0.0075167255	0.0198875	49.0	2580.7525832653046
82	-279.68124	0.8433292	-277.45	-280.0	100.0	680.0	0.0	-1.8626451e-09	0.14190193	-0.0018761696	-0.0016529039	1.9714354	0.006882047	0.016125001	49.0	2610.8941884040833
83	-280.0	0.0	-280.0	-280.0	100.0	688.0	0.0	3.7252903e-09	0.14300877	-0.001790823	-0.0018154206	1.9549103	0.006684942	0.01695	49.0	2639.6564071178436
84	-280.0	0.0	-280.0	-280.0	100.0	696.0	0.0	-1.8626451e-09	0.13072371	-0.0019298426	-0.003098609	1.9405468	0.007076027	0.032775	49.0	2668.4324991703033
85	-280.0	0.0	-280.0	-280.0	100.0	704.0	0.0	9.313226e-10	0.12178628	-0.0016701102	-0.003098011	1.9439856	0.0075596077	0.0223125	49.0	2702.1340625286102
86	-280.0	0.0	-280.0	-280.0	100.0	712.0	0.0	-7.450581e-09	0.13408382	-0.002324136	-0.0035494147	1.9926841	0.0077972724	0.0242875	49.0	2735.268772125244
87	-280.0	0.0	-280.0	-280.0	100.0	720.0	0.0	-1.8626451e-09	0.14694452	-0.0021040458	-0.0013090158	2.0632563	0.008056836	0.02065	49.0	2769.6660351753235
88	-280.0125	0.033073913	-280.0	-280.1	100.0	728.0	0.0	-5.47152e-09	0.13621004	-0.0013890092	-0.0023955768	2.0721374	0.0073202117	0.0104625	49.0	2804.2940323352814
89	-280.0	0.0	-280.0	-280.0	100.0	736.0	0.0	-6.9849193e-09	0.12887108	-0.0017218111	-0.002294437	2.015647	0.005980796	0.018575002	49.0	2838.5689759254456
90	-280.0	0.0	-280.0	-280.0	100.0	744.0	0.0	-1.8626451e-09	0.13713056	-0.0015412087	-0.0047279466	1.9939234	0.004595369	0.012975	49.0	2869.485684156418
91	-279.875	0.3307189	-279.0	-280.0	100.0	752.0	0.0	4.8894435e-09	0.13261	-0.0018566959	-0.0019638576	2.060343	0.0058841286	0.0234875	49.0	2898.4281537532806
92	-280.0125	0.033073913	-280.0	-280.1	100.0	760.0	0.0	-8.381903e-09	0.12599143	-0.0017256606	-0.0044750813	2.045415	0.007821536	0.0125375	49.0	2928.4194235801697
93	-280.0	0.0	-280.0	-280.0	100.0	768.0	0.0	-1.8626451e-09	0.14784653	-0.0016672327	-0.007397961	2.02106	0.009307044	0.02905	49.0	2959.699999809265
94	-280.0	0.0	-280.0	-280.0	100.0	776.0	0.0	9.313226e-10	0.13347544	-0.0019580508	-0.0033494374	1.9697144	0.008427428	0.0293625	49.0	2989.6039850711823
95	-280.0	0.0	-280.0	-280.0	100.0	784.0	0.0	-9.778887e-09	0.12345186	-0.0019640832	-0.0029677795	1.9077388	0.008342103	0.022862501	49.0	3018.2742846012115
96	-280.0	0.0	-280.0	-280.0	100.0	792.0	0.0	3.7252903e-09	0.12888029	-0.0021775356	-0.0018283138	1.8617922	0.009380247	0.037475	49.0	3046.7739136219025
97	-280.0	0.0	-280.0	-280.0	100.0	800.0	0.0	-1.1175871e-08	0.1210822	-0.001679769	-0.0024515567	1.8174822	0.004555957	0.0121	49.0	3075.6279191970825
98	-280.0	0.0	-280.0	-280.0	100.0	808.0	0.0	-1.1175871e-08	0.12568349	0.00398572	-0.0022271993	1.8253127	0.01506837	0.30232498	23.0	3102.851512670517
99	-280.0	0.0	-280.0	-280.0	100.0	816.0	0.0	1.21071935e-08	0.11130731	-0.0018641945	-0.0058808345	1.8183053	0.0075976853	0.017637499	49.0	3131.849109172821
