Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
6180	112.3625	52.996376	194.84999	29.75	80.0	2 h 5 min 38 sec
6200	151.215	42.0144	235.8	53.749996	80.0	2 h 6 min 3 sec
6220	136.5525	76.649414	237.3	-48.550003	80.0	2 h 6 min 29 sec
6240	99.27249	71.07208	204.55	-50.550003	80.0	2 h 6 min 53 sec
6260	131.44249	62.93753	237.2	19.199997	80.0	2 h 7 min 17 sec
6280	142.22	67.111305	238.65	-1.5000012	80.0	2 h 7 min 43 sec
6300	121.15749	62.53611	269.05	-28.0	80.0	2 h 8 min 7 sec
6320	92.74	69.791954	236.0	-51.250004	80.0	2 h 8 min 32 sec
6340	117.097496	55.526356	205.95	-11.950002	80.0	2 h 8 min 57 sec
6360	130.74751	50.327183	241.0	27.1	80.0	2 h 9 min 21 sec
6380	135.78752	56.85377	246.0	21.05	80.0	2 h 9 min 45 sec
6400	111.34751	54.608475	229.55	22.3	80.0	2 h 10 min 8 sec
6420	134.9675	52.94186	206.55	22.649998	80.0	2 h 10 min 34 sec
6440	137.13998	47.08645	192.1	5.8999987	80.0	2 h 10 min 58 sec
6460	112.302505	54.186028	207.4	10.849999	80.0	2 h 11 min 22 sec
6480	125.3925	57.903797	268.35	32.399998	80.0	2 h 11 min 47 sec
6500	109.61251	59.679985	177.5	-52.050003	80.0	2 h 12 min 12 sec
6520	127.5125	69.72592	264.65	-10.100002	80.0	2 h 12 min 36 sec
6540	141.655	64.205536	240.05	36.399998	80.0	2 h 13 min 1 sec
6560	128.52501	38.53019	207.05	55.6	80.0	2 h 13 min 24 sec
6580	124.8775	68.729454	254.2	-42.3	80.0	2 h 13 min 49 sec
6600	147.36748	52.669384	237.0	45.399998	80.0	2 h 14 min 15 sec
6620	131.37251	55.68528	194.25	-24.85	80.0	2 h 14 min 39 sec
6640	137.82251	67.28137	267.9	48.1	80.0	2 h 15 min 4 sec
6660	146.2825	60.3317	256.69998	20.099998	80.0	2 h 15 min 30 sec
