Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
4800	473.91754	200.73355	684.8	-12.400001	76.1	2 h 17 min
4820	464.0625	178.08118	610.9	84.1	80.0	2 h 18 min
4840	544.215	134.1306	673.2	140.25	76.95	2 h 18 min
4860	528.9525	110.01059	619.6	269.25	80.0	2 h 19 min
4880	505.2775	145.35175	671.2	205.05	78.3	2 h 20 min
4900	479.55997	168.34569	668.85	139.7	76.45	2 h 20 min
4920	498.04745	165.3574	672.1	170.8	76.75	2 h 21 min
4940	448.465	175.9076	614.2	24.4	80.0	2 h 21 min
4960	525.81006	138.12627	678.9	203.45	77.95	2 h 22 min
4980	532.46497	130.3825	618.7	195.75	80.0	2 h 22 min
5000	505.76996	136.49873	666.5	234.6	78.35	2 h 23 min
5020	509.3625	138.3817	673.65	156.09999	76.35	2 h 23 min
5040	489.16748	171.78032	680.5	169.59999	76.3	2 h 24 min
5060	523.6625	161.28708	658.0	107.1	77.6	2 h 24 min
5080	552.1725	92.33703	657.45	333.25	78.3	2 h 25 min
5100	530.06244	122.05225	613.7	140.95	79.8	2 h 26 min
5120	463.50497	179.92058	676.4	129.55	76.4	2 h 26 min
5140	462.3725	179.084	620.05	16.949999	80.0	2 h 27 min
5160	544.63745	95.61872	677.1	281.05	77.95	2 h 27 min
5180	544.33	87.721054	616.15	327.25	80.0	2 h 28 min
5200	442.70996	183.83249	627.95	110.549995	79.8	2 h 28 min
5220	451.47247	204.29378	618.3	18.749998	80.0	2 h 29 min
5240	499.3475	138.44386	682.05	144.09999	77.95	2 h 29 min
5260	517.445	125.464676	625.2	114.1	80.0	2 h 30 min
5280	511.4725	152.49081	622.75	169.45	80.0	2 h 30 min
5300	527.62244	143.09198	621.55	112.549995	80.0	2 h 31 min
5320	490.9925	179.03844	675.7	95.799995	78.15	2 h 32 min
5340	446.27246	174.04083	611.3	57.8	80.0	2 h 32 min
5360	521.725	111.60797	663.1	242.4	78.6	2 h 33 min
5380	497.6	150.7014	617.35	111.4	80.0	2 h 33 min
5400	544.275	128.2114	667.7	184.95	78.4	2 h 34 min
5420	524.8825	104.10669	623.9	312.05	80.0	2 h 34 min
5440	485.00748	161.70396	619.55	186.75	80.0	2 h 35 min
5460	527.495	140.53618	677.75	136.9	77.65	2 h 35 min
5480	516.2275	137.07446	616.55	171.9	80.0	2 h 36 min
5500	517.69	118.34501	620.1	229.0	80.0	2 h 36 min
5520	564.9375	104.29779	673.6	300.85	76.95	2 h 37 min
5540	547.88	114.6528	621.1	243.75	80.0	2 h 38 min
5560	485.36002	162.28003	674.25	163.2	77.95	2 h 38 min
5580	543.24243	108.12548	619.05	266.3	80.0	2 h 39 min
5600	495.73746	158.04466	690.45	174.05	76.05	2 h 39 min
5620	556.77	113.68283	678.5	220.95	78.05	2 h 40 min
5640	562.7875	101.996544	687.35	239.75	77.75	2 h 40 min
5660	514.5525	176.19121	684.1	92.15	77.9	2 h 41 min
5680	568.4274	113.40092	671.1	166.35	78.2	2 h 41 min
5700	538.21497	121.47829	621.6	261.05	80.0	2 h 42 min
5720	514.8825	122.23505	625.7	158.25	79.45	2 h 43 min
5740	519.23	115.17316	671.95	285.95	78.05	2 h 43 min
5760	520.0675	82.539856	614.35	361.3	80.0	2 h 44 min
5780	479.90753	182.40019	616.85	58.949997	80.0	2 h 44 min
5800	506.36758	112.353195	675.4	323.85	78.1	2 h 45 min
5820	475.3	135.09639	613.0	184.84999	80.0	2 h 45 min
5840	531.6375	112.38844	612.5	261.4	80.0	2 h 46 min
5860	458.135	139.22054	612.55	216.05	80.0	2 h 46 min
5880	446.42755	184.6415	612.9	-0.65000206	80.0	2 h 47 min
5900	513.8275	129.43169	616.2	170.65	80.0	2 h 47 min
5920	519.8775	139.24825	617.5	38.65	80.0	2 h 48 min
5940	458.00497	156.14326	612.5	70.75	80.0	2 h 49 min
5960	487.055	151.82085	611.7	126.85	80.0	2 h 49 min
5980	543.97003	123.54744	666.3	215.09999	78.3	2 h 50 min
6000	535.61	139.91702	685.5	94.4	75.9	2 h 50 min
6020	560.68494	106.38956	623.0	282.3	80.0	2 h 51 min
6040	486.10498	139.62248	623.9	215.65	80.0	2 h 51 min
6060	512.945	98.82189	613.35	243.0	80.0	2 h 52 min
6080	543.1	115.8017	670.1	189.09999	78.4	2 h 52 min
6100	521.58	132.404	684.2	223.5	76.5	2 h 53 min
6120	528.2575	142.05531	620.9	18.749998	80.0	2 h 54 min
6140	547.565	100.863686	692.7	246.6	77.6	2 h 54 min
6160	505.4825	173.12251	685.65	90.1	77.85	2 h 55 min
6180	563.0325	112.489655	684.5	191.05	76.05	2 h 55 min
6200	565.5874	87.29402	621.8	272.3	80.0	2 h 56 min
6220	527.92255	102.26567	608.9	317.65	80.0	2 h 56 min
6240	537.1749	137.90593	620.2	63.35	80.0	2 h 57 min
6260	492.28003	157.0745	619.95	26.9	80.0	2 h 57 min
6280	495.50995	180.0814	669.95	77.799995	78.15	2 h 58 min
6300	577.5299	81.375145	669.6	323.55	78.2	2 h 59 min
6320	515.92755	131.65033	621.95	174.9	80.0	2 h 59 min
6340	485.85504	185.21637	681.6	79.5	76.75	3 h 0 min
6360	259.45248	190.68687	617.6	-2.2000027	80.0	3 h 0 min
6380	481.62003	165.21582	621.6	78.299995	80.0	3 h 1 min
6400	366.27252	213.18271	688.55	27.599998	77.7	3 h 1 min
6420	426.03497	221.80714	618.7	-5.4500012	80.0	3 h 2 min
6440	517.8525	147.7921	681.4	120.45	77.85	3 h 2 min
6460	485.10995	158.00192	619.65	142.5	80.0	3 h 3 min
6480	495.26752	153.91208	620.55	29.349998	80.0	3 h 3 min
6500	432.08	201.41975	615.3	59.899998	80.0	3 h 4 min
6520	417.3575	186.71227	619.0	108.75	80.0	3 h 4 min
6540	431.065	176.6752	618.95	65.9	80.0	3 h 5 min
6560	507.86002	145.43655	618.2	108.9	80.0	3 h 5 min
6580	496.81	157.84544	615.3	84.55	80.0	3 h 6 min
6600	482.1125	171.6479	680.8	35.85	77.95	3 h 7 min
6620	440.0725	199.51144	684.2	43.0	77.8	3 h 7 min
6640	466.83252	164.20695	615.1	15.149999	80.0	3 h 8 min
6660	417.7225	211.95636	618.2	-14.500001	80.0	3 h 8 min
6680	458.70245	162.76636	618.55	86.1	80.0	3 h 9 min
6700	481.9375	146.44073	607.9	66.4	80.0	3 h 9 min
6720	524.3225	128.88896	617.8	174.55	80.0	3 h 10 min
6740	552.2475	97.78776	614.6	203.55	80.0	3 h 10 min
6760	521.40753	160.49284	620.7	92.95	80.0	3 h 11 min
6780	410.8675	225.41939	615.3	-12.4000025	80.0	3 h 12 min
6800	558.12744	121.70352	619.05	62.8	80.0	3 h 12 min
6820	452.95245	206.14128	619.75	76.1	80.0	3 h 13 min
6840	550.84503	119.363556	618.9	108.1	80.0	3 h 13 min
6860	474.83502	181.61166	622.4	30.199999	80.0	3 h 14 min
6880	531.2425	133.2571	618.55	126.75	80.0	3 h 14 min
6900	552.6325	132.47192	672.05	184.0	78.05	3 h 15 min
6920	500.64008	173.83276	617.85	4.0499988	80.0	3 h 15 min
6940	500.6375	158.86757	619.7	45.5	80.0	3 h 16 min
6960	488.1875	120.71869	618.35	142.45	80.0	3 h 17 min
6980	545.26495	134.88208	622.45	132.75	80.0	3 h 17 min
7000	556.935	153.95018	683.85	87.75	77.9	3 h 18 min
7020	538.99255	145.99066	678.15	165.4	76.4	3 h 18 min
7040	551.1725	145.09422	678.45	114.9	77.95	3 h 19 min
7060	482.06006	180.83058	623.45	75.8	80.0	3 h 19 min
7080	535.1225	173.97638	679.2	-6.1000013	78.0	3 h 20 min
7100	507.2775	152.93864	620.6	120.549995	80.0	3 h 21 min
7120	527.32	138.17897	618.45	171.9	80.0	3 h 21 min
