Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
53	-267.74063	91.63573	-138.65001	-474.35	100.0	864.0	0.0	3.7252903e-09	3.9640112	-0.0050633196	-0.12250617	1.9151338	0.004918214	0.0383	49.0	35211.103362083435
54	-249.36877	107.04434	-125.450005	-471.65	100.0	880.0	0.0	3.7252903e-09	4.033928	-0.004913664	-0.08118796	1.8586171	0.0042880513	0.037875	49.0	35288.624492406845
55	-271.74063	123.36404	-100.600006	-526.25	100.0	896.0	0.0	3.7252903e-09	4.6392713	-0.004717446	-0.12667677	1.8482516	0.004659153	0.037265003	49.0	35366.136425971985
56	-269.2469	129.34709	-31.250008	-493.7	100.0	912.0	0.0	3.7252903e-09	4.252536	-0.0049334103	-0.11579567	1.807486	0.005182962	0.04045	49.0	35436.79867219925
57	-233.3375	121.459404	6.1499944	-439.2	100.0	928.0	0.0	7.450581e-09	5.3103004	-0.004984632	-0.22212517	1.8007958	0.005649582	0.039135	49.0	35505.82286071777
58	-187.52501	119.65677	-35.900005	-466.65	100.0	944.0	0.0	7.450581e-09	5.5261593	-0.0048175883	-0.113572955	1.754791	0.004985931	0.038815003	49.0	35581.32914876938
59	-94.13751	110.30547	118.99999	-424.1	100.0	960.0	9.0	-9.313226e-10	6.0831842	-0.005249772	-0.49842745	1.7059557	0.004797497	0.03762	49.0	35674.275980234146
60	-50.381256	126.22719	83.399994	-359.75	100.0	976.0	0.0	3.7252903e-09	6.3717594	-0.004956872	-0.5264595	1.735675	0.0044192774	0.034965	49.0	35743.312415361404
61	-27.850006	108.68926	116.49999	-253.90001	100.0	992.0	0.0	1.8626451e-09	7.2658243	-0.005074352	-0.23808193	1.7182474	0.0043442473	0.03536	49.0	35812.317756175995
62	-13.900005	138.1051	167.79999	-285.6	100.0	1008.0	0.0	-3.7252903e-09	6.9645624	-0.004870437	-0.1842342	1.663499	0.0047122007	0.034889996	49.0	35883.35757088661
63	-17.675005	159.3811	177.75	-370.7	100.0	1024.0	0.0	1.1175871e-08	7.5812244	-0.0048372354	-0.1671896	1.666095	0.0038070763	0.031965002	49.0	35953.06106758118
64	35.243744	159.00064	247.34999	-302.4	100.0	1040.0	0.0	-1.1175871e-08	7.685335	-0.0046968823	-0.32930344	1.6348668	0.0046709734	0.03878	49.0	36023.53039717674
65	28.64687	133.88983	194.75	-287.75	100.0	1056.0	0.0	6.519258e-09	7.6923604	-0.004527542	-0.14283913	1.6423452	0.0040017557	0.034280002	49.0	36092.19207549095
66	79.88437	124.92895	210.54999	-242.3	100.0	1072.0	3.0	3.7252903e-09	7.9622507	-0.004229825	-0.14586228	1.615237	0.003936764	0.027965	49.0	36169.70531320572
67	33.559364	140.25285	203.7	-283.55002	100.0	1088.0	0.0	1.8626451e-09	7.4517546	-0.004522445	-0.22895163	1.6075234	0.004123525	0.035354998	49.0	36245.79103040695
68	57.271866	184.98492	258.75	-318.75	100.0	1104.0	0.0	-3.7252903e-09	8.460232	-0.0043193162	-0.20537573	1.567311	0.0035736721	0.030475	49.0	36316.557193517685
69	101.496864	168.76236	264.8	-276.95	100.0	1120.0	0.0	-8.381903e-09	8.299711	-0.004567208	-0.2943527	1.5385833	0.0043394724	0.031290002	49.0	36385.70699214935
70	79.774994	231.84767	265.75	-439.55002	100.0	1136.0	2.0	-6.519258e-09	9.194979	-0.0043234564	-0.35438097	1.5399115	0.0038975258	0.0277	49.0	36460.89752697945
71	156.37187	141.74199	301.9	-297.80002	100.0	1152.0	58.0	-2.7939677e-09	7.86197	-0.0045855474	-0.3825174	1.526058	0.0044830623	0.03354	49.0	36684.919528484344
72	142.92188	105.46098	312.4	-60.950005	100.0	1168.0	0.0	0.0	9.78694	-0.0041543874	-0.3446799	1.5302982	0.0035815896	0.025185	49.0	36760.40478038788
73	143.79062	204.3586	368.9	-398.6	100.0	1184.0	0.0	-2.7939677e-09	9.001995	-0.0043984205	-0.20785254	1.5230097	0.0040450534	0.035335	49.0	36835.44219446182
74	204.1625	167.30875	346.8	-299.75	100.0	1200.0	62.0	2.0954758e-09	9.4298725	-0.0041362373	-0.2339521	1.4948292	0.0038670697	0.027525	49.0	37071.64131999016
75	207.16876	110.71749	338.25	-89.200005	100.0	1216.0	0.0	-3.259629e-09	8.63718	-0.0043681944	-0.29640466	1.4712679	0.0045435796	0.03237	49.0	37140.44724440575
76	271.34064	82.14767	378.35	54.399994	100.0	1232.0	0.0	-7.21775e-09	8.475316	-0.004282986	-0.27153832	1.4216495	0.0043198597	0.035269998	49.0	37210.435168504715
77	282.1375	122.98746	397.94998	-127.00001	100.0	1248.0	0.0	-4.1909516e-09	8.890707	-0.0044562966	-0.19868082	1.4505206	0.0039147316	0.033265002	49.0	37279.61958551407
78	224.47186	176.36688	439.0	-208.5	100.0	1264.0	0.0	1.8626451e-09	10.04886	-0.004114574	-0.21648884	1.4023893	0.0036286863	0.028175	49.0	37348.62333607674
79	322.81873	116.83938	515.64996	32.399994	100.0	1280.0	0.0	-7.916242e-09	8.654009	-0.0043619517	-0.42957574	1.3724107	0.004034923	0.03471	49.0	37424.10742068291
80	304.825	58.410767	410.0	177.9	100.0	1296.0	0.0	4.656613e-09	9.354225	-0.004334679	-0.21574384	1.4146566	0.00401256	0.03194	49.0	37499.37680435181
81	372.9625	120.63026	526.35	114.399994	100.0	1312.0	1.0	-1.3969839e-09	9.758835	-0.0035546063	-0.2494263	1.3895715	0.0045884307	0.041474998	49.0	37577.25049710274
82	361.37186	115.060295	483.44998	156.8	100.0	1328.0	9.0	-5.5879354e-09	9.584661	-0.004232465	-0.2943527	1.3584301	0.0035239572	0.02833	49.0	37670.40974545479
83	403.9281	85.708305	515.05	166.25	100.0	1344.0	0.0	-3.7252903e-09	9.8557205	-0.0041267467	-0.24659944	1.382704	0.0035276015	0.032195	49.0	37740.205585479736
84	409.33124	139.65955	528.3	-37.800007	100.0	1360.0	0.0	-3.7252903e-09	10.919746	-0.00374295	-0.26364195	1.3482072	0.0039492417	0.028715	49.0	37810.319242715836
85	351.075	196.36467	559.64996	-219.05	100.0	1376.0	0.0	-1.8626451e-09	10.530533	-0.0039198524	-0.35926586	1.3539119	0.0038479653	0.02665	49.0	37883.33825278282
